Episode,Total Reward,Requests Served,Average Waiting
1027,-9731511,51,65.28
1028,-9635102,59,72.42
1029,-13052515,26,82.18
1030,-14628071,54,90.27
1031,-10851092,57,82.82
1032,-8627809,64,70.44
1033,-7622515,62,60.4
1034,-11758164,52,79.54
1035,-11067534,43,71.78
1036,-14454852,62,90.63
1037,-12327022,51,83.23
1038,-12619830,44,91.98
1039,-11523194,41,79.62
1040,-14004373,43,92.16
1041,-13783222,38,87.89
1042,-13780782,32,88.82
1043,-11088239,49,75.07
1044,-11578009,61,83.8
1045,-9468603,60,72.12
1046,-11308015,65,77.05
1047,-15743131,57,95.35
1048,-13579662,43,89.45
1049,-9235619,28,69.78
1050,-10091949,50,76.08
1051,-13034612,16,83.87
1052,-14238408,37,91.62
1053,-12559683,60,88.68
1054,-15164661,25,88.68
1055,-12380958,54,83.69
1056,-14878146,28,96.03
1057,-16369369,32,99.0
1058,-11368200,41,73.54
